country_code,country,area_code,state,GMT_offset,DST,DST_range,geographic_description,tz_code,php_tz
1,'DOM','849','','-4','N','','Dominican Republic','AST','America/Santo_Domingo'
1,'USA','850','FL','-6','Y','SSM-FSN','Florida','CST','America/Chicago'
1,'USA','854','SC','-5','Y','SSM-FSN','South Carolina','EST','America/New_York'
1,'USA','856','NJ','-5','Y','SSM-FSN','New Jersey','EST','America/New_York'
1,'USA','857','MA','-5','Y','SSM-FSN','Massachusetts','EST','America/New_York'
1,'USA','858','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','859','KY','-5','Y','SSM-FSN','Kentucky','EST','America/New_York'
1,'USA','860','CT','-5','Y','SSM-FSN','Connecticut','EST','America/New_York'
1,'USA','861','IL','-6','Y','SSM-FSN','Illinois','CST','America/Chicago'
1,'USA','862','NJ','-5','Y','SSM-FSN','New Jersey','EST','America/New_York'
1,'USA','863','FL','-5','Y','SSM-FSN','Florida','EST','America/New_York'
1,'USA','864','SC','-5','Y','SSM-FSN','South Carolina','EST','America/New_York'
1,'USA','865','TN','-5','Y','SSM-FSN','Tennessee','EST','America/New_York'
1,'CAN','867','YT','-7','N','','Yukon','MST','America/Whitehorse'
1,'TTO','868','','-4','N','','Trinidad and Tobago','AST','America/Grand_Turk'
1,'KNA','869','','-4','N','','St. Kitts and Nevis','AST','America/St_Kitts'
1,'USA','870','AR','-6','Y','SSM-FSN','Arkansas','CST','America/Chicago'
1,'USA','872','IL','-6','Y','SSM-FSN','Illinois','CST','America/Chicago'
1,'CAN','873','QC','-5','Y','SSM-FSN','Quebec','EST','America/Toronto'
1,'JAM','876','','-5','N','','Jamaica','EST','America/Jamaica'
1,'USA','878','PA','-5','Y','SSM-FSN','Pennsylvania','EST','America/New_York'
1,'CAN','879','NF','-3.5','Y','SSM-FSN','Newfoundland','NST','America/St_Johns'
1,'USA','901','TN','-6','Y','SSM-FSN','Tennessee','CST','America/Chicago'
1,'CAN','902','NS','-4','Y','SSM-FSN','Nova Scotia','AST','America/Moncton'
1,'USA','903','TX','-6','Y','SSM-FSN','Texas','CST','America/Chicago'
1,'USA','904','FL','-5','Y','SSM-FSN','Florida','EST','America/New_York'
1,'CAN','905','ON','-5','Y','SSM-FSN','Ontario','EST','America/Toronto'
1,'USA','906','MI','-6','Y','SSM-FSN','Michigan','CST','America/Chicago'
1,'USA','907','AK','-9','Y','SSM-FSN','Alaska','AKST','America/Anchorage'
1,'USA','908','NJ','-5','Y','SSM-FSN','New Jersey','EST','America/New_York'
1,'USA','909','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','910','NC','-5','Y','SSM-FSN','North Carolina','EST','America/New_York'
1,'USA','912','GA','-5','Y','SSM-FSN','Georgia','EST','America/New_York'
1,'USA','913','KS','-6','Y','SSM-FSN','Kansas','CST','America/Chicago'
1,'USA','914','NY','-5','Y','SSM-FSN','New York','EST','America/New_York'
1,'USA','915','TX','-7','Y','SSM-FSN','Texas','MST','America/Denver'
1,'USA','916','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','917','NY','-5','Y','SSM-FSN','New York','EST','America/New_York'
1,'USA','918','OK','-6','Y','SSM-FSN','Oklahoma','CST','America/Chicago'
1,'USA','919','NC','-5','Y','SSM-FSN','North Carolina','EST','America/New_York'
1,'USA','920','WI','-6','Y','SSM-FSN','Wisconsin','CST','America/Chicago'
1,'USA','924','MN','-6','Y','SSM-FSN','Minnesota','CST','America/Chicago'
1,'USA','925','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','927','FL','-5','Y','SSM-FSN','Florida','EST','America/New_York'
1,'USA','928','AZ','-7','N','','Arizona','MST','America/Phoenix'
1,'USA','929','NY','-5','Y','SSM-FSN','New York','EST','America/New_York'
1,'USA','930','IN','-5','Y','SSM-FSN','Indiana','EST','America/New_York'
1,'USA','931','TN','-6','Y','SSM-FSN','Tennessee','CST','America/Chicago'
1,'USA','934','NY','-5','Y','SSM-FSN','New York','EST','America/New_York'
1,'USA','935','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','936','TX','-6','Y','SSM-FSN','Texas','CST','America/Chicago'
1,'USA','937','OH','-5','Y','SSM-FSN','Ohio','EST','America/New_York'
1,'USA','938','AL','-6','Y','SSM-FSN','Alabama','CST','America/Chicago'
1,'USA','939','PR','-4','N','','Puerto Rico','AST','America/Puerto_Rico'
1,'USA','940','TX','-6','Y','SSM-FSN','Texas','CST','America/Chicago'
1,'USA','941','FL','-5','Y','SSM-FSN','Florida','EST','America/New_York'
1,'CAN','942','ON','-5','Y','SSM-FSN','Ontario','EST','America/Toronto'
1,'USA','943','GA','-5','Y','SSM-FSN','Georgia','EST','America/New_York'
1,'USA','945','TX','-6','Y','SSM-FSN','Texas','CST','America/Chicago'
1,'USA','947','MI','-5','Y','SSM-FSN','Michigan','EST','America/New_York'
1,'USA','948','VA','-5','Y','SSM-FSN','Virginia','EST','America/New_York'
1,'USA','949','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','951','CA','-8','Y','SSM-FSN','California','PST','America/Los_Angeles'
1,'USA','952','MN','-6','Y','SSM-FSN','Minnesota','CST','America/Chicago'
1,'USA','954','FL','-5','Y','SSM-FSN','Florida','EST','America/New_York'
1,'USA','956','TX','-6','Y','SSM-FSN','Texas','CST','America/Chicago'
1,'USA','957','NM','-7','Y','SSM-FSN','New Mexico','MST','America/Denver'
1,'USA','959','CT','-5','Y','SSM-FSN','Connecticut','EST','America/New_York'
1,'USA','970','CO','-7','Y','SSM-FSN','Colorado','MST','America/Denver'
1,'USA','971','OR','-8','Y','SSM-FSN','Oregon','PST','America/Los_Angeles'
